mass__g_,reclat,reclong
1722.0,18.72883,54.57717
1460.0,18.88333,54.68383
69.7,19.37306,54.7625
590.1,18.53958,54.57358
13.23,19.43382,54.69043
184.3,19.37243,54.52335
29.2,19.26465,54.49753
188.6,19.55838,54.12582
172.0,18.94895,54.68008
1768.0,19.30085,54.83333
130.0,19.17694,54.89417
312.0,19.06917,54.53472
234.0,18.21167,54.14833
90.0,18.38833,54.295
226.0,18.405,54.245
4779.0,18.26167,54.24333
582.0,18.68667,54.41833
134.0,18.83667,54.27
174.5,18.38833,54.26667
160.0,18.39333,54.16667
1816.0,19.30333,54.59833
274.0,18.18333,54.12333
111.0,18.49333,54.25167
255.0,18.25667,54.18167
86.0,18.535,54.32167
570.0,18.685,54.40667
132.0,18.485,54.315
1708.0,18.26667,54.09667
14974.0,19.15833,54.57333
144.0,18.99833,54.585
1780.0,18.79167,54.57667
4950.0,18.4235,54.48
124.0,18.90167,54.56167
1335.0,18.265,54.045
594.0,18.34833,54.28667
1140.0,18.76167,54.70333
31.0,19.11667,54.80833
450.0,18.99968,54.91148
852.0,18.54798,54.67692
189.0,18.80872,54.50495
1280.0,19.05083,54.70167
3549.0,19.15194,54.76667
3184.0,19.15833,54.575
104.0,18.35,54.195
331.0,18.735,54.36833
340.0,18.30833,54.17333
186.0,18.91333,54.36167
52.0,18.95667,54.385
186.0,18.24,54.16833
74.0,19.39667,54.72833
172.0,18.27667,54.135
1233.3,18.33433,54.18067
3677.0,19.34917,54.56833
215.0,18.69217,54.2014
182.0,18.7386,54.21205
97.0,18.7373,54.19537
99.0,19.13892,54.88143
724.0,19.09107,54.79628
268.0,19.187,54.77733
444.0,19.10333,54.82833
2878.0,19.165,54.77667
392.0,18.945,54.895
13605.0,18.79167,54.15333
14.0,19.15,54.57667
3600.0,18.88637,54.65452
538.0,18.85367,54.64705
382.5,19.02922,54.54473
274.38,19.02948,54.54437
246.38,19.05907,54.53693
56.11,19.0704,54.53838
82.57,18.56095,54.09983
164.75,19.01982,54.51398
72.14,19.04028,54.49387
49.3,19.04587,54.49452
133.22,19.0456,54.494
23.33,19.05025,54.49242
22.29,19.04797,54.48912
4.04,19.06228,54.49735
126.0,19.34167,54.56
190.0,18.40833,54.13
122.0,18.24333,54.135
19.0,18.97833,54.40833
88.0,18.695,54.25
1350.0,19.09667,54.79167
48.0,19.28833,54.695
68.0,18.925,54.59833
62.0,18.89333,54.73167
45.0,19.135,54.565
212.0,18.535,54.13333
550.0,19.09167,54.38667
63.5,19.15547,54.5555
1592.0,19.126,54.85633
79.0,19.29667,54.9336
423.5,19.26831,54.84694
33.0,19.19733,54.91717
69.3,19.23139,54.92333
165.3,19.25317,54.83617
4860.0,38.47,-102.82667
4480.0,-29.58639,122.18167
14402.0,34.28333,-101.83333
1397.0,30.06222,4.55722
151.0,-24.85,-70.53333
7.0,-24.85,-70.53333
54.0,-24.85,-70.53333
98.0,-24.85,-70.53333
15.0,-24.85,-70.53333
24.8,-24.85,-70.53333
40.1,-24.85,-70.53333
57.9,-24.85,-70.53333
138.0,-24.85,-70.53333
27.0,-24.85,-70.53333
23.0,-24.85,-70.53333
22.0,-24.85,-70.53333
125.0,-24.85,-70.53333
19.9,-24.85,-70.53333
42.4,-24.85,-70.53333
13.4,-24.85,-70.53333
12.9,-24.85,-70.53333
1258.0,-24.85,-70.53333
13.9,-24.85,-70.53333
15.5,-24.85,-70.53333
106.0,-24.85,-70.53333
670.0,-24.85,-70.53333
59.0,-24.85,-70.53333
10.9,-24.85,-70.53333
12.6,-24.85,-70.53333
45.0,-24.85,-70.53333
620.0,-24.85,-70.53333
38.0,-24.85,-70.53333
163.0,-24.85,-70.53333
13.0,34.64667,-117.58108
1824.1,-76.29139,157.20833
1238.3,-76.26889,157.1725
542.7,-76.26861,157.16111
29.6,-76.32862,157.22718
4.2,-76.28264,156.44157
6.6,-76.04364,156.08626
7000.0,38.5,-96.2
2305.0,31.533333,8.883333
94.0,31.33333,-82.31667
1771.9,51.86667,70.35
54.3,27.0,-104.0
502.0,28.83333,-81.68333
36.0,-30.45833,128.21667
910.0,-30.785,128.01667
82.0,-30.78333,127.8
4.6,-30.17417,128.069
0.83,-30.73783,127.95367
10.0,-30.75,128.08333
1992.0,33.1,-102.26667
2.7,-72.98889,160.40556
7.3,-72.99028,160.40389
8.9,-72.98917,160.40528
5.1,-72.98944,160.40278
10.6,-72.98917,160.405
1.3,-72.98889,160.40583
4.2,-72.98889,160.40778
11.3,-72.95167,160.51167
17.4,-72.95222,160.46139
0.8,-72.99222,160.4
12.3,-72.99306,160.40056
1.5,-72.98833,160.34667
1.5,-72.98806,160.39917
0.8,-72.98944,160.40278
1.53,-72.95267,160.45167
15.47,-72.95136,160.51608
3.37,-72.95131,160.45906
3.51,-72.99542,160.39733
1.94,-72.95336,160.44256
24.27,-72.95397,160.48642
42.9,-72.98886,160.40603
8.76,-72.96133,160.69708
